record_id,parent_id,title,artist_client,date,catalogue,roles,credits,public_sources,review_status,corrected_value,owner_notes,display_order
cosmic-015,cosmic-records-history,Pure,Voyager,1998 — public listing,COSMIC 015,Artist,[],[],awaiting-owner-review,Title: Pure; remix release of COSMIC 002 Pure; Thorn’s Break remixed by Thorn. Friction’s Groove: remixed and produced solely by Justin Scott Dixon (Voyager). Original Mix: written and arranged by Justin Scott Dixon; produced by Justin Scott Dixon and Jeff Alderson.,"2026-09-22: Owner confirmed COSMIC 015 is Pure, a remix release of COSMIC 002. Frictions Groove was misinterpreted as part of the title and became known/published as Pure, Frictions Groove - Voyager. Thorn’s Break is a remix by Thorn; owner supplied tentative full name Dan Ramaswammi and requested online spelling verification. Online searches did not establish the full-name spelling; retain Thorn publicly pending verification. Writing and version-specific production/remix credits otherwise remain to be confirmed. Historical published title retained in public summary; release-family nesting remains pending. Owner subsequently confirmed Friction’s Groove was remixed and produced solely by Justin Scott Dixon (Voyager). This resolves that version’s remix and production credits; Thorn’s full-name spelling remains pending. Owner confirmed Original Mix retains COSMIC 002 credits: written and arranged by Justin Scott Dixon; produced by Justin Scott Dixon and Jeff Alderson.",
cosmic-016,cosmic-records-history,Get Jazzed Up,DJ’s Friction & Spice,1998 — public listing,COSMIC 016,Writer / producer / mixer: In The Mind,"[{""title"": ""In The Mind"", ""scope"": ""A1"", ""roles"": [""Writer"", ""Producer"", ""Mixer""], ""evidence"": ""Artist-supplied label photograph transcribed in the master; sole writing credit and Voyager production identity confirmed by the owner on 2026-09-22."", ""note"": ""B1 Alright (Breakbeat Mix) and B2 Alright (Hybrid Analogue Mix) are produced and mixed by L. Mullin & M. Truman and licensed from Final Phase Records; those credits are not assigned to Dixon.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/50155"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,In The Mind: written solely by Justin Scott Dixon; Voyager production (Justin Scott Dixon); printed production and mixing credit J.S. Dixon.,2026-09-22: Owner clarified In The Mind is a Voyager production. Preserve the distinction between production identity Voyager (Justin Scott Dixon) and the vinyl release artist credit. Existing printed J.S. Dixon production/mixing credit retained. Owner subsequently confirmed sole writing credit for Justin Scott Dixon; licensed Alright credits unchanged.,
cosmic-017,cosmic-records-history,Time Travel E.P.,Voyager,1999 label,COSMIC 017,Writer | Producer,[],[],awaiting-owner-review,All tracks written and produced solely by Justin Scott Dixon (Voyager). Track titles: Time Travel Prt 1; Time Travel Prt 2.,2026-09-22: Owner confirmed sole writing and production by Justin Scott Dixon (Voyager) across all tracks on Time Travel E.P. Exact track titles subsequently confirmed by the owner: Time Travel Prt 1; Time Travel Prt 2. Spelling retained exactly as supplied; physical side assignments not inferred. Existing 1999 date and artwork approval preserved.,
time-travel,,"Time Travel / Time Travel, Part 2",Voyager,"July 11, 1999","{""label"": ""Voyager Recordings"", ""catalogNumber"": ""VR008"", ""barcode"": ""198704703652""}",Artist | Composer,[],"[{""label"": ""MusicBrainz release record"", ""href"": ""https://musicbrainz.org/release/a8e6c051-cc16-4926-a7d3-b077bbd0f000"", ""supports"": ""Title, artist, label, catalog number, barcode and release date""}, {""label"": ""IMDb soundtrack record"", ""href"": ""https://www.imdb.com/title/tt0286152/soundtrack/"", ""supports"": ""Time Travel soundtrack listing, writer, performer alias and label""}]",awaiting-owner-review,,,
one-voyager-remix,,One (Voyager Remix),Voyager,"February 26, 2001",{},Remixer,[],"[{""label"": ""MusicBrainz compilation record"", ""href"": ""https://musicbrainz.org/release/cbbd0c31-9d5f-416b-b916-ccb475a10d2e"", ""supports"": ""Voyager remix attribution and compilation date""}]",awaiting-owner-review,,,
two-worlds,,Two Worlds,Mike Hiratzka & Justin Scott Dixon,Digital listing: 2003 · vinyl edition: 2004 (database),"{""label"": ""Propulsion Records""}",Artist | Producer,[],"[{""label"": ""Beatport release record"", ""href"": ""https://www.beatport.com/artist/justin-scott-dixon/2884/releases"", ""supports"": ""Artists, label and release date""}, {""label"": ""Apple Music artist record"", ""href"": ""https://music.apple.com/us/artist/justin-scott-dixon/135623570"", ""supports"": ""Single title, artist identity and release year""}, {""label"": ""Discogs — PRP002 vinyl edition"", ""href"": ""https://www.discogs.com/release/264316"", ""supports"": ""Database reports 2004 vinyl edition and Original Mix / Descent Remix; not the digital release date.""}]",awaiting-owner-review,,,
someone-else-bloom,,Someone Else — Bloom,Voyager / Gabriel & Dresden,2004,{},Producer | Composer,[],"[{""label"": ""MusicBrainz release record"", ""href"": ""https://musicbrainz.org/release/de6dffe0-bd36-4a55-b172-c87b9c773095"", ""supports"": ""Track, artist and producer attribution""}, {""label"": ""AllMusic credit index"", ""href"": ""https://www.allmusic.com/artist/justin-scott-dixon-mn0000311941"", ""supports"": ""Bloom production and composition credit listing""}]",awaiting-owner-review,,,
audio-shock,,Audio Shock,Justin Dixon / Voyager,2005–2006,{},Designer | Developer,[],"[{""label"": ""Native Instruments User Library — Audio Shock 4.0"", ""href"": ""https://www.native-instruments.com/en/reaktor-community/reaktor-user-library/entry/show/4043/"", ""supports"": ""Title, author identity and October 2005 library record""}, {""label"": ""Native Instruments User Library — M/S Mixing"", ""href"": ""https://www.native-instruments.com/en/reaktor-community/reaktor-user-library/entry/show/4045/"", ""supports"": ""M/S design description, author identity and February 2006 record""}]",awaiting-owner-review,,,
unexpected,,Unexpected,Feature film directed by Sr. Premil,2026,{},Post-Production Sound | Re-Recording Mixer | Supervising Sound Editor | Music / Music Supervisor — Uncredited,[],"[{""label"": ""Prime Video release"", ""href"": ""https://www.amazon.com/gp/video/detail/0TZTA6DG1P3D0WPKRUKQTMSG14"", ""supports"": ""Released title, director, year and availability""}, {""label"": ""IMDb full credits"", ""href"": ""https://www.imdb.com/title/tt37786123/fullcredits/"", ""supports"": ""Named post-production roles and uncredited music designations""}]",awaiting-owner-review,,,
screen-credits-history,,Screen Credits — Selected History,"Film, television and soundtrack work",2002–2026,{},Re-Recording Mixer | Sound Mixer | Supervising Sound Editor | Sound Designer | Music Supervisor | Composer,[],"[{""label"": ""IMDb — Unexpected full credits"", ""href"": ""https://www.imdb.com/title/tt37786123/fullcredits/"", ""supports"": ""Post-production and uncredited music-role listings""}, {""label"": ""IMDb — Wild Ride full credits"", ""href"": ""https://www.imdb.com/title/tt11657016/fullcredits/"", ""supports"": ""Sound and music-supervisor listings""}, {""label"": ""IMDb — Inale full credits"", ""href"": ""https://www.imdb.com/title/tt1744772/fullcredits/"", ""supports"": ""Sound-department role listings""}, {""label"": ""IMDb — The Works full credits"", ""href"": ""https://www.imdb.com/title/tt0379033/fullcredits/"", ""supports"": ""Sound-mixer listing""}, {""label"": ""IMDb — Stark Raving Mad soundtrack"", ""href"": ""https://www.imdb.com/title/tt0286152/soundtrack/"", ""supports"": ""Time Travel soundtrack, writer and performer listing""}]",awaiting-owner-review,,,
chart-history,,Charts & reception,Justin Scott Dixon / Voyager,1999–2002,{},Artist,[],"[{""label"": ""Voyager — Time Travel"", ""href"": ""https://www.officialcharts.com/songs/voyager-time-travel/"", ""supports"": ""UK Independent Singles · No. 30 / UK Singles · No. 93""}, {""label"": ""Voyager — Panic EP"", ""href"": ""https://www.officialcharts.com/songs/voyager-panic-ep/"", ""supports"": ""UK Dance Singles · No. 19 / Independent Singles · No. 25""}, {""label"": ""Aria — One"", ""href"": ""https://www.officialcharts.com/songs/aria-one/"", ""supports"": ""UK Dance Singles · No. 14 / Independent Singles · No. 17 / Singles · No. 82""}, {""label"": ""Origin — Refined Intricacy"", ""href"": ""https://www.officialcharts.com/songs/origin-refined-intricacy/"", ""supports"": ""UK Independent Singles · No. 29""}, {""label"": ""Bedrock — Beautiful Strange"", ""href"": ""https://www.officialcharts.com/albums/bedrock-beautiful-strange/"", ""supports"": ""UK Independent Albums · No. 17""}, {""label"": ""Francesco Farfa — The Search"", ""href"": ""https://www.officialcharts.com/songs/francesco-farfa-the-search/"", ""supports"": ""UK Dance Singles · No. 30 / Independent Singles · No. 44""}, {""label"": ""Northern Exposure: chart history"", ""href"": ""https://www.officialcharts.com/albums/various-artists-northern-exposure-sasha-jon-digweed/"", ""supports"": ""Compilation-level chart record""}, {""label"": ""AllMusic: Expeditions"", ""href"": ""https://www.allmusic.com/album/northern-exposure-expeditions-mw0000666154"", ""supports"": ""Review and track placement""}, {""label"": ""The Mix: May 1999"", ""href"": ""https://www.worldradiohistory.com/UK/The-Mix/The-Mix-UK-1999-05-S-OCR.pdf"", ""supports"": ""Contemporary review, printed page 73""}, {""label"": ""Hi-Fi World: April 1999"", ""href"": ""https://www.worldradiohistory.com/UK/Hi-Fi-World/1999/Hi-Fi-World-1999-04.pdf"", ""supports"": ""Contemporary coverage, printed page 84""}, {""label"": ""Orlando Weekly review"", ""href"": ""https://www.orlandoweekly.com/music/review-northern-exposure-3-expeditions-2314359/"", ""supports"": ""Critical contemporary review""}, {""label"": ""Chart Log UK 2001"", ""href"": ""https://www.zobbel.de/cluk/CLUK2001.pdf"", ""supports"": ""Secondary report for Pure, not primary corroboration""}]",awaiting-owner-review,,,
studio-evolution,,Studio evolution,Justin Scott Dixon / Voyager,Early foundations → studio practice,{},Artist,[],"[{""label"": ""Artist interview"", ""href"": ""https://www.youtube.com/watch?v=R6sa-Mg2YaM"", ""supports"": ""Background interview; later case-study details also supplied directly by the artist.""}, {""label"": ""Almost Flew — Voyager Remix"", ""href"": ""https://music.apple.com/us/album/almost-flew-voyager-remix/1041178339?i=1041179562"", ""supports"": ""Release identity""}, {""label"": ""Super Progressive — early editing and production"", ""href"": ""https://www.youtube.com/watch?v=R6sa-Mg2YaM&t=2015"", ""supports"": ""Dixon recalls radio production and reel-to-reel editing. The AK1200 workflow is drawn from his later direct artist account, not verified by this timestamp.""}]",awaiting-owner-review,,,
cinematic-library,,Voyager: cinematic library,Justin Scott Dixon / Voyager,Software-instrument era,{},Artist,[],"[{""label"": ""Artist interview"", ""href"": ""https://www.youtube.com/watch?v=R6sa-Mg2YaM"", ""supports"": ""Background interview; later case-study details also supplied directly by the artist.""}]",awaiting-owner-review,,,
qvibe-immersive,,QVibe & immersive composition,Justin Scott Dixon / Voyager,Artist retrospective,{},Artist,[],"[{""label"": ""Artist reference playlist"", ""href"": ""https://www.youtube.com/playlist?list=PLv_XND-ZcK0F4nVgP9QMUt89RjHxLkiYI"", ""supports"": ""Related listening references; not a verified original QVibe sequence""}]",awaiting-owner-review,,,
ai-creative-practice,,AI in creative practice,Justin Scott Dixon / Voyager,Ongoing practice,{},Artist,[],"[{""label"": ""Prime Video release"", ""href"": ""https://www.amazon.com/gp/video/detail/0TZTA6DG1P3D0WPKRUKQTMSG14"", ""supports"": ""Released title, director, year and availability""}, {""label"": ""IMDb full credits"", ""href"": ""https://www.imdb.com/title/tt37786123/fullcredits/"", ""supports"": ""Named post-production roles and uncredited music designations""}]",awaiting-owner-review,,,
singles-remixes,,"Singles, remixes & photographed editions",Justin Scott Dixon / Voyager,Artist retrospective,{},Artist,[],"[{""label"": ""Artist source photographs"", ""href"": ""https://drive.google.com/drive/folders/1mVnF4skqn2V0ox57tQXu8UrTVVV-iVpi"", ""supports"": ""Label and pressing references supplied by the artist.""}, {""label"": ""Aria — One"", ""href"": ""https://www.discogs.com/release/4996"", ""supports"": ""Fire edition and remix credits""}, {""label"": ""Bradley — Rush"", ""href"": ""https://www.discogs.com/release/15434"", ""supports"": ""Fade edition and Voyager remix credit""}, {""label"": ""Voyager — Motion"", ""href"": ""https://www.discogs.com/release/48568"", ""supports"": ""Coded edition and track credits""}]",awaiting-owner-review,,,
nc-01,singles-remixes,Sunshine State of Mind — four-track sampler,Various artists,Edition date under review,162-531107-1,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-02,singles-remixes,Beautiful Strange,Bedrock,Edition date under review,BS1001pr; BS1001EP,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-03,singles-remixes,Altered-Ego-Trip (The Remix Album),Keoki,Edition date under review,MM80090-1,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-04,singles-remixes,Magic Shop,"Stef, Pako & Frederik",Edition date under review,CODE10,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-05,singles-remixes,Acid X-Mas — Special X-Mas E.P.,Various artists,Edition date under review,SB-013,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-06,singles-remixes,Refined Intricacy ’99,Origin,Edition date under review,SYW006 — database corroborated,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-07,singles-remixes,Mellow,MOT,Edition date under review,314-570285-1DJ,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-08,singles-remixes,Sunshine State of Mind — full-album sleeve,Various artists,Edition date under review,Photographed edition pending,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-09,singles-remixes,Music from Tranceport 3,Various artists / Sandra Collins,Edition date under review,0-54648 P,Writer / producer: Motion (Stereo Edit),"[{""title"": ""Motion (Stereo Edit)"", ""scope"": ""A1"", ""roles"": [""Writer"", ""Producer""], ""evidence"": ""Artist-supplied label photograph transcribed in the master."", ""collaborators"": ""Sam Frost — additional keyboard production; Sandra Collins — compilation"", ""note"": ""Credit is specific to the Voyager recording on this vinyl sampler.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/899011"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
nc-10,singles-remixes,Rush,Bradley,Edition date under review,FD-015,Remixer | Additional producer,"[{""title"": ""Rush (Voyager’s Big Speaker Remix)"", ""scope"": ""B"", ""roles"": [""Remixer"", ""Additional producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Brad Harper — original writer and producer"", ""note"": ""Echo’s Wave Dub is the other version on this edition.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/master/203684"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}, {""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/15434"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
nc-11,singles-remixes,"Ocean Wave E.P. — Voyager Remixes, disk three",Ocean Wave,Edition date under review,RHYSYN005R,Remixer | Additional producer,"[{""title"": ""Velvet (Voyager Remix 1)"", ""scope"": ""A"", ""roles"": [""Remixer"", ""Additional producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Kasey Taylor — original writing, production and mixing""}, {""title"": ""Velvet (Voyager Remix 2)"", ""scope"": ""B"", ""roles"": [""Remixer"", ""Additional producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Kasey Taylor — original writing, production and mixing""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/4872"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
nc-12,singles-remixes,Motion / One or Two,Voyager,Edition date under review,CODE 012,Writer | Producer,"[{""title"": ""Motion"", ""scope"": ""A"", ""roles"": [""Writer"", ""Producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Sam Frost — additional keyboard production""}, {""title"": ""One or Two"", ""scope"": ""B"", ""roles"": [""Writer"", ""Producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/48568"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
nc-13,singles-remixes,One — Fire edition,Aria,Edition date under review,ERIF 008,Co-writer | Co-producer | Remixer / additional producer: Voyager Mix,"[{""title"": ""One (Original Mix)"", ""scope"": ""Original recording"", ""roles"": [""Co-writer"", ""Co-producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Rich Rosario — co-writer and co-producer""}, {""title"": ""One (Voyager Mix)"", ""scope"": ""AA"", ""roles"": [""Remixer"", ""Additional producer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""note"": ""Voyager remix credit is distinct from the original writing and production.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/master/247131"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}, {""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/4996"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
nc-14,singles-remixes,Groove Me — Sueños edition,DJ’s Friction & Spice,Edition date under review,Exact reference pending,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-15,singles-remixes,High Plains Drifter,System 7,Edition date under review,AAWT702,Remixer | Additional producer,"[{""title"": ""High Plains Drifter (Voyager Remix)"", ""scope"": ""A"", ""roles"": [""Remixer"", ""Additional producer""], ""evidence"": ""Artist-supplied label photograph transcribed in the master.""}]",[],awaiting-owner-review,,,
nc-16,singles-remixes,Ultra Vixens — Undercurrent edition,Thomas P. Heckmann & Marc Romboy,Edition date under review,Pending; UNC12003 is a public lead,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-17,singles-remixes,Free,MAD,Edition date under review,CF-2834,Contribution documented by edition,[],[],awaiting-owner-review,,,
nc-18,singles-remixes,Beyond / Feel,Aria,Edition date under review,DR-1002,Co-writer | Co-producer | Co-arranger,"[{""title"": ""Beyond"", ""scope"": ""A"", ""roles"": [""Co-writer"", ""Co-producer"", ""Co-arranger""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Rich Rosario — co-writer, co-producer and co-arranger""}, {""title"": ""Feel"", ""scope"": ""B"", ""roles"": [""Co-writer"", ""Co-producer"", ""Co-arranger""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Rich Rosario — co-writer, co-producer and co-arranger""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/136652"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
production-engineering-credits,,"Production, engineering & mastering",Justin Scott Dixon · selected collaborations,1997–2007 documented editions; some dates unresolved,{},Producer | Remixer | Engineer | Mixer | Editor | Mastering engineer,[],"[{""label"": ""Discogs — Justin Scott Dixon credit index"", ""href"": ""https://www.discogs.com/artist/17125-Justin-Scott-Dixon"", ""supports"": ""Discovery index only. Each release below has its own edition source and scope qualification.""}]",awaiting-owner-review,,,
d111,production-engineering-credits,The Diversity Twins EP,Tiny & Dominick featuring Sunny,1997 — database edition year,KNIGHT-015,Co-writer / co-producer / engineer: Emotional Circumference,"[{""title"": ""Emotional Circumference"", ""scope"": ""A"", ""roles"": [""Co-writer"", ""Co-producer"", ""Engineer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""DJ Dominick — shared writing, production and engineering; Sunny — vocals"", ""note"": ""The Sleeper on side B is credited to DJ Tiny. Chris Hand also carries general writing, production and engineering credits in the edition listing.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/155609"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
d112,production-engineering-credits,Enlighten Me,Enlighten Us,1997 — database edition year,URS001,Co-remixer: The Boyser Dub Mix,"[{""title"": ""Enlighten Me (The Boyser Dub Mix)"", ""scope"": ""A"", ""roles"": [""Co-remixer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Chris Hand and Dave Cannalte — co-remixers"", ""note"": ""The Mr Knightlife and AGH Conspiracy Trance versions carry separate mix identities.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/272169"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
d115,production-engineering-credits,Touch Me,Pilgrim State featuring Sunny,1998 — database edition year,KNIGHT-016,Engineer,"[{""title"": ""Touch Me"", ""scope"": ""Edition-level credit; mix allocation unspecified"", ""roles"": [""Engineer""], ""evidence"": ""Database credit transcribed in the master; original packaging comparison pending."", ""collaborators"": ""Chris Hand — writing, production and engineering; Damion Riccio — writing, production and vocals"", ""note"": ""The edition includes Club Mix, Radio Edit and Mr Knight Life fREeMIX. The source does not allocate Dixon’s engineering credit to an individual version.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/14610"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,,,
